file,filter,mean,std,min,25%,50%,75%,max
PGC0001309_r.fits,r,32.92606,118.8785,-14.620069,4.963398456573486,11.572985649108887,30.864261627197266,4971.341
PGC0001478_r.fits,r,3.2297232,38.22061,-23.27628,-3.2480435371398926,0.0,4.2401885986328125,3761.7192
PGC0001523_r.fits,r,5.31298,24.955698,-15.885674,-2.024136781692505,0.7100579738616943,4.0211896896362305,1668.8654
PGC0001621_r.fits,r,1.1467735,15.896427,-20.635513,-3.315599203109741,-0.13533484935760498,3.2313332557678223,1542.3344
PGC0001713_r.fits,r,2.4202921,10.496841,-11.897303,-1.2856471538543701,0.9368594884872437,3.4179344177246094,781.0904
PGC0001747_r.fits,r,2.9979794,31.0387,-20.428406,-2.3993608951568604,0.913663387298584,4.500463962554932,4586.021
PGC0001781_r.fits,r,2.5468514,114.99994,-11.338904,-1.1315891742706299,0.6796534657478333,2.557478189468384,16017.334
PGC0001805_r.fits,r,6.5809617,150.1553,-21.157063,-2.1299095153808594,1.3676975965499878,5.217822074890137,21400.305
PGC0001841_r.fits,r,5.3716273,33.216423,-11.223518,-1.3669800758361816,0.7455607056617737,3.1229610443115234,1495.7375
PGC0001862_r.fits,r,5.602908,128.07205,-21.670853,-3.8881242275238037,-0.14420945942401886,4.016714572906494,13926.533
PGC0001909_r.fits,r,6.579894,32.129055,-13.406244,-0.47168222069740295,2.152841091156006,5.199490547180176,1269.4226
PGC0001932_r.fits,r,10.468412,121.698,-12.723933,-0.2676382064819336,2.476274013519287,5.645225524902344,8735.296
PGC0001933_r.fits,r,5.480171,122.77677,-15.204857,-2.789921283721924,-0.22108641266822815,2.512509822845459,10696.359
PGC0001936_r.fits,r,1.1619343,11.062299,-18.80664,-2.6299262046813965,0.4870893359184265,3.8160288333892822,1063.0919
PGC0002016_r.fits,r,2.641279,17.896402,-20.291729,-1.6742225885391235,1.8304187059402466,5.5802388191223145,2486.1277
PGC0002035_r.fits,r,5.4252367,80.29224,-6.680768,-1.0165538787841797,0.0586383230984211,1.3236827850341797,12861.251
PGC0002076_r.fits,r,8.776916,54.254467,-10.872208,0.25544583797454834,2.8519787788391113,6.353662014007568,3756.826
PGC0002149_r.fits,r,9.038748,69.35512,-12.263998,-0.564132571220398,2.3258907794952393,6.287482738494873,6924.4805
PGC0002151_r.fits,r,4.3223314,15.370418,-24.20369,-2.497945547103882,1.6385130882263184,6.377718448638916,488.79514
PGC0002182_r.fits,r,6.8177257,60.0686,-12.835573,-0.8423706293106079,1.8348461389541626,5.216281414031982,7172.144
PGC0002269_r.fits,r,6.027991,62.520718,-15.638876,-1.7951948642730713,0.9291710257530212,4.268679618835449,6185.5283
PGC0002288_r.fits,r,5.03398,44.4969,-12.844312,-0.7931259870529175,1.585780382156372,4.286043167114258,2711.6199
PGC0002331_r.fits,r,13.917957,121.91191,-16.692186,-2.1698617935180664,0.7344504594802856,5.099311828613281,14198.022
PGC0002332_r.fits,r,41.334694,248.16512,-21.380278,2.2497167587280273,10.716798782348633,37.9201545715332,15358.597
PGC0002352_r.fits,r,8.244165,58.28552,-8.884288,-0.6344951391220093,1.2365583181381226,4.0280938148498535,5009.7295
PGC0002357_r.fits,r,12.340947,89.83797,-10.553304,0.8191534876823425,3.832822799682617,8.718286514282227,7171.376
PGC0002365_r.fits,r,8.3858185,34.65117,-14.88829,0.2321310043334961,4.169347286224365,9.515023231506348,3767.0046
PGC0002388_r.fits,r,4.7247105,20.084545,-12.279201,-1.2287895679473877,0.5522777438163757,3.1215221881866455,1979.4336
